,tax_year,academic_year,YAG,sex,subject_name,provider_name,earnings_median,earnings_LQ,earnings_median,earnings_UQ
95,2018/2019,2012/2013,5,Female + male,Allied health,Edge Hill University,18200,14000,18200,25900
96,2018/2019,2012/2013,5,Female + male,Allied health,Edinburgh Napier University,16300,7800,16300,24800
97,2018/2019,2012/2013,5,Female + male,Allied health,Glasgow Caledonian University,27200,22100,27200,34700
98,2018/2019,2012/2013,5,Female + male,Allied health,Glyndwr University,23700,13700,23700,29900
99,2018/2019,2012/2013,5,Female + male,Allied health,Goldsmiths College,c,c,c,c
100,2018/2019,2012/2013,5,Female + male,Allied health,"Imperial College of Science, Technology and Medicine",31800,26300,31800,35000
101,2018/2019,2012/2013,5,Female + male,Allied health,King's College London,33600,26300,33600,38700
102,2018/2019,2012/2013,5,Female + male,Allied health,Kingston University,27700,19300,27700,36500
103,2018/2019,2012/2013,5,Female + male,Allied health,Leeds Beckett University,25900,19600,25900,32200
104,2018/2019,2012/2013,5,Female + male,Allied health,Leeds Trinity University,23000,20400,23000,28100
105,2018/2019,2012/2013,5,Female + male,Allied health,Liverpool Hope University,24800,18200,24800,28500
106,2018/2019,2012/2013,5,Female + male,Allied health,Liverpool John Moores University,26500,21200,26500,33200
107,2018/2019,2012/2013,5,Female + male,Allied health,London Metropolitan University,23400,15700,23400,29900
108,2018/2019,2012/2013,5,Female + male,Allied health,London South Bank University,29700,20800,29700,33600
109,2018/2019,2012/2013,5,Female + male,Allied health,Middlesex University,26600,15700,26600,35800
110,2018/2019,2012/2013,5,Female + male,Allied health,Newman University,c,c,c,c
111,2018/2019,2012/2013,5,Female + male,Allied health,Oxford Brookes University,24800,18300,24800,30800
112,2018/2019,2012/2013,5,Female + male,Allied health,"Queen Margaret University, Edinburgh",24800,19700,24800,27400
113,2018/2019,2012/2013,5,Female + male,Allied health,Queen Mary University of London,45300,42300,45300,50000
114,2018/2019,2012/2013,5,Female + male,Allied health,Roehampton University,21500,16000,21500,28000
115,2018/2019,2012/2013,5,Female + male,Allied health,Sheffield Hallam University,27000,22300,27000,30300
116,2018/2019,2012/2013,5,Female + male,Allied health,St George's Hospital Medical School,33800,26600,33800,42300
117,2018/2019,2012/2013,5,Female + male,Allied health,"St Mary's University, Twickenham",25900,21500,25900,35000
118,2018/2019,2012/2013,5,Female + male,Allied health,Staffordshire University,33200,16500,33200,42300
119,2018/2019,2012/2013,5,Female + male,Allied health,Swansea University,30100,24500,30100,32800
120,2018/2019,2012/2013,5,Female + male,Allied health,Teesside University,27000,21900,27000,36500
121,2018/2019,2012/2013,5,Female + male,Allied health,The City University,28800,19000,28800,42700
122,2018/2019,2012/2013,5,Female + male,Allied health,The Manchester Metropolitan University,27400,20100,27400,32800
123,2018/2019,2012/2013,5,Female + male,Allied health,The Nottingham Trent University,c,c,c,c
124,2018/2019,2012/2013,5,Female + male,Allied health,The Open University,c,c,c,c
125,2018/2019,2012/2013,5,Female + male,Allied health,The Robert Gordon University,27700,25900,27700,30300
126,2018/2019,2012/2013,5,Female + male,Allied health,The University of Aberdeen,c,c,c,c
127,2018/2019,2012/2013,5,Female + male,Allied health,The University of Birmingham,33600,27700,33600,44500
128,2018/2019,2012/2013,5,Female + male,Allied health,The University of Bolton,31800,23200,31800,40500
129,2018/2019,2012/2013,5,Female + male,Allied health,The University of Bradford,27000,16400,27000,35800
130,2018/2019,2012/2013,5,Female + male,Allied health,The University of Brighton,27400,20100,27400,31800
131,2018/2019,2012/2013,5,Female + male,Allied health,The University of Bristol,43400,40900,43400,45600
132,2018/2019,2012/2013,5,Female + male,Allied health,The University of Cambridge,40900,29200,40900,57700
133,2018/2019,2012/2013,5,Female + male,Allied health,The University of Central Lancashire,23400,16900,23400,29900
134,2018/2019,2012/2013,5,Female + male,Allied health,The University of Chichester,13400,8400,13400,23700
135,2018/2019,2012/2013,5,Female + male,Allied health,The University of Dundee,35000,24100,35000,41200
136,2018/2019,2012/2013,5,Female + male,Allied health,The University of East Anglia,27700,23600,27700,30300
137,2018/2019,2012/2013,5,Female + male,Allied health,The University of East London,26600,15300,26600,33200
138,2018/2019,2012/2013,5,Female + male,Allied health,The University of Edinburgh,c,c,c,c
139,2018/2019,2012/2013,5,Female + male,Allied health,The University of Essex,29600,23000,29600,36100
140,2018/2019,2012/2013,5,Female + male,Allied health,The University of Exeter,c,c,c,c
141,2018/2019,2012/2013,5,Female + male,Allied health,The University of Glasgow,c,c,c,c
142,2018/2019,2012/2013,5,Female + male,Allied health,The University of Greenwich,29600,15600,29600,39100
143,2018/2019,2012/2013,5,Female + male,Allied health,The University of Huddersfield,25200,17200,25200,31800
144,2018/2019,2012/2013,5,Female + male,Allied health,The University of Hull,19200,12400,19200,21000
145,2018/2019,2012/2013,5,Female + male,Allied health,The University of Keele,28300,22800,28300,31900
146,2018/2019,2012/2013,5,Female + male,Allied health,The University of Kent,26500,24000,26500,38900
147,2018/2019,2012/2013,5,Female + male,Allied health,The University of Lancaster,29200,24100,29200,38300
148,2018/2019,2012/2013,5,Female + male,Allied health,The University of Leeds,35000,24500,35000,45600
149,2018/2019,2012/2013,5,Female + male,Allied health,The University of Lincoln,22600,17500,22600,30300
150,2018/2019,2012/2013,5,Female + male,Allied health,The University of Liverpool,26600,24100,26600,28800
151,2018/2019,2012/2013,5,Female + male,Allied health,The University of Manchester,29000,23800,29000,42100
152,2018/2019,2012/2013,5,Female + male,Allied health,The University of Northampton,24700,18600,24700,27400
153,2018/2019,2012/2013,5,Female + male,Allied health,The University of Portsmouth,28500,23700,28500,34300
154,2018/2019,2012/2013,5,Female + male,Allied health,The University of Reading,26300,24500,26300,27700
155,2018/2019,2012/2013,5,Female + male,Allied health,The University of Salford,23700,16100,23700,28000
156,2018/2019,2012/2013,5,Female + male,Allied health,The University of Sheffield,27000,22600,27000,32100
157,2018/2019,2012/2013,5,Female + male,Allied health,The University of Southampton,25600,18200,25600,31800
158,2018/2019,2012/2013,5,Female + male,Allied health,The University of Strathclyde,25600,16100,25600,25900
159,2018/2019,2012/2013,5,Female + male,Allied health,The University of Sunderland,22600,14600,22600,25600
160,2018/2019,2012/2013,5,Female + male,Allied health,The University of Surrey,26600,24100,26600,32800
161,2018/2019,2012/2013,5,Female + male,Allied health,The University of the West of Scotland,21900,18200,21900,32500
162,2018/2019,2012/2013,5,Female + male,Allied health,The University of Warwick,27400,19300,27400,37200
163,2018/2019,2012/2013,5,Female + male,Allied health,The University of West London,13100,9900,13100,26300
164,2018/2019,2012/2013,5,Female + male,Allied health,The University of Westminster,15800,8400,15800,29500
165,2018/2019,2012/2013,5,Female + male,Allied health,The University of Wolverhampton,19900,15500,19900,23700
166,2018/2019,2012/2013,5,Female + male,Allied health,University Campus Suffolk,19700,12700,19700,25600
167,2018/2019,2012/2013,5,Female + male,Allied health,University College London,29200,22300,29200,32800
168,2018/2019,2012/2013,5,Female + male,Allied health,University of Abertay Dundee,c,c,c,c
169,2018/2019,2012/2013,5,Female + male,Allied health,University of Bedfordshire,21500,14600,21500,28100
170,2018/2019,2012/2013,5,Female + male,Allied health,University of Chester,23700,18200,23700,27700
171,2018/2019,2012/2013,5,Female + male,Allied health,University of Cumbria,24800,19700,24800,28500
172,2018/2019,2012/2013,5,Female + male,Allied health,University of Derby,22400,14100,22400,25900
173,2018/2019,2012/2013,5,Female + male,Allied health,University of Durham,29900,21200,29900,35800
174,2018/2019,2012/2013,5,Female + male,Allied health,University of Gloucestershire,,,,
175,2018/2019,2012/2013,5,Female + male,Allied health,University of Hertfordshire,29200,24100,29200,36900
176,2018/2019,2012/2013,5,Female + male,Allied health,University of Newcastle-upon-Tyne,29200,24100,29200,36100
177,2018/2019,2012/2013,5,Female + male,Allied health,University of Northumbria at Newcastle,26300,21200,26300,32100
178,2018/2019,2012/2013,5,Female + male,Allied health,University of Nottingham,27400,20400,27400,31800
179,2018/2019,2012/2013,5,Female + male,Allied health,University of Plymouth,26600,20400,26600,32400
180,2018/2019,2012/2013,5,Female + male,Allied health,University of South Wales,13300,11200,13300,31900
181,2018/2019,2012/2013,5,Female + male,Allied health,University of St Mark and St John,c,c,c,c
182,2018/2019,2012/2013,5,Female + male,Allied health,"University of the Arts, London",c,c,c,c
