,tax_year,academic_year,YAG,sex,subject_name,provider_name,earnings_median,earnings_LQ,earnings_median,earnings_UQ
14280,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of Leeds,c,c,c,c
14281,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of Leicester,c,c,c,c
14282,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of Lincoln,23000,19000,23000,27000
14283,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of Northampton,,,,
14284,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of Reading,c,c,c,c
14285,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of Sheffield,c,c,c,c
14286,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of Southampton,c,c,c,c
14287,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of St Andrews,c,c,c,c
14288,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of Strathclyde,,,,
14289,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of Surrey,c,c,c,c
14290,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of the West of Scotland,,,,
14291,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of West London,c,c,c,c
14292,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",The University of Wolverhampton,23700,20100,23700,28500
14293,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",University College London,32300,23700,32300,36900
14294,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",University of Abertay Dundee,c,c,c,c
14295,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",University of Bedfordshire,c,c,c,c
14296,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",University of Cumbria,c,c,c,c
14297,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",University of Derby,c,c,c,c
14298,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",University of Newcastle-upon-Tyne,c,c,c,c
14299,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",University of Northumbria at Newcastle,24800,18200,24800,29900
14300,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",University of Nottingham,c,c,c,c
14301,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",University of South Wales,24500,20800,24500,28700
14302,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",University of the Highlands and Islands,c,c,c,c
14303,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences","University of the West of England, Bristol",23700,17500,23700,27700
14304,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",University of Wales Trinity Saint David,c,c,c,c
14305,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences","University of Wales, Newport",c,c,c,c
14306,2018/2019,2012/2013,5,Male,"General, applied and forensic sciences",University of Worcester,c,c,c,c
14307,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Blackburn College,c,c,c,c
14308,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Aberystwyth University,25900,20800,25900,29900
14309,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Bangor University,23400,20100,23400,26600
14310,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Bath Spa University,22300,19000,22300,27400
14311,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Birkbeck College,26300,15500,26300,40200
14312,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Bishop Grosseteste University,c,c,c,c
14313,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Bournemouth University,29900,24500,29900,36100
14314,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Canterbury Christ Church University,27400,22300,27400,28800
14315,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Cardiff University,28800,25200,28800,33900
14316,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Coventry University,24800,18600,24800,31800
14317,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Edge Hill University,23700,20300,23700,30800
14318,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Glyndwr University,c,c,c,c
14319,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies","Imperial College of Science, Technology and Medicine",33200,25600,33200,36900
14320,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",King's College London,36100,26600,36100,48600
14321,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Kingston University,27400,18600,27400,32100
14322,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Leeds Beckett University,c,c,c,c
14323,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Liverpool Hope University,c,c,c,c
14324,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Liverpool John Moores University,23900,21200,23900,27600
14325,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",London Metropolitan University,c,c,c,c
14326,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",London School of Economics and Political Science,57700,35800,57700,74800
14327,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Loughborough University,39400,26600,39400,46700
14328,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Newman University,c,c,c,c
14329,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Oxford Brookes University,27000,23000,27000,31400
14330,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Queen Mary University of London,32800,19700,32800,37600
14331,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Royal Holloway and Bedford New College,31400,26300,31400,45300
14332,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Sheffield Hallam University,27400,18600,27400,35400
14333,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Southampton Solent University,21900,17200,21900,34700
14334,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",SRUC,22300,14200,22300,27400
14335,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies","St Mary's University, Twickenham",c,c,c,c
14336,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Staffordshire University,25200,19400,25200,32100
14337,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",Swansea University,25400,20100,25400,36500
14338,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The Manchester Metropolitan University,27600,21900,27600,33900
14339,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The Nottingham Trent University,25200,19600,25200,36300
14340,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The Open University,29000,18600,29000,43300
14341,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The School of Oriental and African Studies,c,c,c,c
14342,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Aberdeen,28500,24300,28500,37600
14343,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Birmingham,32800,27000,32800,40900
14344,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Bradford,23700,17900,23700,26300
14345,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Brighton,25900,18600,25900,30700
14346,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Bristol,38300,29600,38300,53700
14347,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Cambridge,44500,35800,44500,66100
14348,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Central Lancashire,20800,16300,20800,30300
14349,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Dundee,29600,24100,29600,31000
14350,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of East Anglia,31200,23000,31200,36900
14351,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Edinburgh,29600,23700,29600,44200
14352,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Exeter,37200,27700,37200,45600
14353,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Glasgow,27000,21900,27000,31000
14354,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Greenwich,c,c,c,c
14355,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Hull,28100,23700,28100,36500
14356,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Keele,27700,22600,27700,33900
14357,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Lancaster,27700,22600,27700,35400
14358,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Leeds,34700,28100,34700,46000
14359,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Leicester,27600,23000,27600,37200
14360,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Liverpool,30700,24100,30700,42000
14361,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Manchester,32800,26600,32800,38700
14362,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Northampton,27400,22200,27400,36500
14363,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Oxford,44700,27000,44700,56900
14364,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Portsmouth,27700,21200,27700,36500
14365,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Reading,31800,26600,31800,40500
14366,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Salford,26600,21500,26600,29200
14367,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Sheffield,30300,25600,30300,39400
14368,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Southampton,32800,27000,32800,40500
14369,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of St Andrews,42700,29600,42700,44900
14370,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Stirling,22600,17200,22600,28500
14371,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Strathclyde,c,c,c,c
14372,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Sunderland,c,c,c,c
14373,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Sussex,29400,27000,29400,39400
14374,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Winchester,c,c,c,c
14375,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of Wolverhampton,c,c,c,c
14376,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",The University of York,25700,21500,25700,33900
14377,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University College London,41400,32100,41400,49600
14378,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of Chester,24800,21900,24800,29600
14379,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of Cumbria,20400,13500,20400,24500
14380,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of Derby,23400,17200,23400,27700
14381,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of Durham,39100,30700,39100,50000
14382,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of Gloucestershire,c,c,c,c
14383,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of Hertfordshire,31000,27000,31000,36500
14384,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of Newcastle-upon-Tyne,37600,27700,37600,47800
14385,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of Northumbria at Newcastle,26300,23700,26300,33900
14386,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of Nottingham,37600,27400,37600,49600
14387,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of Plymouth,27000,20800,27000,33800
14388,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of South Wales,24500,20100,24500,32500
14389,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of the Highlands and Islands,c,c,c,c
14390,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies","University of the West of England, Bristol",28500,25200,28500,34700
14391,2018/2019,2012/2013,5,Male,"Geography, earth and environmental studies",University of Worcester,27400,21900,27400,31800
14392,2018/2019,2012/2013,5,Male,Health and social care,Blackburn College,c,c,c,c
14393,2018/2019,2012/2013,5,Male,Health and social care,Blackpool and the Fylde College,,,,
14394,2018/2019,2012/2013,5,Male,Health and social care,Bradford College,c,c,c,c
14395,2018/2019,2012/2013,5,Male,Health and social care,Grimsby Institute of Further and Higher Education,,,,
14396,2018/2019,2012/2013,5,Male,Health and social care,Havering College of Further and Higher Education,c,c,c,c
14397,2018/2019,2012/2013,5,Male,Health and social care,Heart of Worcestershire College,c,c,c,c
14398,2018/2019,2012/2013,5,Male,Health and social care,NCG,c,c,c,c
14399,2018/2019,2012/2013,5,Male,Health and social care,NCG,c,c,c,c
14400,2018/2019,2012/2013,5,Male,Health and social care,New College Durham,c,c,c,c
14401,2018/2019,2012/2013,5,Male,Health and social care,Ruskin College,c,c,c,c
14402,2018/2019,2012/2013,5,Male,Health and social care,Stockport College,c,c,c,c
14403,2018/2019,2012/2013,5,Male,Health and social care,The City of Liverpool College,c,c,c,c
14404,2018/2019,2012/2013,5,Male,Health and social care,Anglia Ruskin University,20100,14600,20100,31000
14405,2018/2019,2012/2013,5,Male,Health and social care,Bangor University,c,c,c,c
14406,2018/2019,2012/2013,5,Male,Health and social care,Birmingham City University,28500,19700,28500,33600
14407,2018/2019,2012/2013,5,Male,Health and social care,Bournemouth University,35000,31000,35000,41200
14408,2018/2019,2012/2013,5,Male,Health and social care,Brunel University London,c,c,c,c
14409,2018/2019,2012/2013,5,Male,Health and social care,Buckinghamshire New University,c,c,c,c
14410,2018/2019,2012/2013,5,Male,Health and social care,Canterbury Christ Church University,27400,19000,27400,32800
14411,2018/2019,2012/2013,5,Male,Health and social care,Cardiff Metropolitan University,c,c,c,c
14412,2018/2019,2012/2013,5,Male,Health and social care,Coventry University,25400,20100,25400,29900
14413,2018/2019,2012/2013,5,Male,Health and social care,De Montfort University,26800,21800,26800,30900
14414,2018/2019,2012/2013,5,Male,Health and social care,Edge Hill University,c,c,c,c
14415,2018/2019,2012/2013,5,Male,Health and social care,Edinburgh Napier University,c,c,c,c
14416,2018/2019,2012/2013,5,Male,Health and social care,Glasgow Caledonian University,c,c,c,c
14417,2018/2019,2012/2013,5,Male,Health and social care,Glyndwr University,24800,19300,24800,29200
14418,2018/2019,2012/2013,5,Male,Health and social care,Goldsmiths College,28800,24800,28800,39800
14419,2018/2019,2012/2013,5,Male,Health and social care,Kingston University,c,c,c,c
14420,2018/2019,2012/2013,5,Male,Health and social care,Leeds Beckett University,c,c,c,c
14421,2018/2019,2012/2013,5,Male,Health and social care,Liverpool Hope University,c,c,c,c
14422,2018/2019,2012/2013,5,Male,Health and social care,Liverpool John Moores University,23700,20400,23700,28500
14423,2018/2019,2012/2013,5,Male,Health and social care,London Metropolitan University,c,c,c,c
14424,2018/2019,2012/2013,5,Male,Health and social care,London South Bank University,c,c,c,c
14425,2018/2019,2012/2013,5,Male,Health and social care,Middlesex University,c,c,c,c
14426,2018/2019,2012/2013,5,Male,Health and social care,Newman University,c,c,c,c
14427,2018/2019,2012/2013,5,Male,Health and social care,Oxford Brookes University,c,c,c,c
14428,2018/2019,2012/2013,5,Male,Health and social care,Roehampton University,c,c,c,c
14429,2018/2019,2012/2013,5,Male,Health and social care,Royal Holloway and Bedford New College,,,,
14430,2018/2019,2012/2013,5,Male,Health and social care,Sheffield Hallam University,29900,29200,29900,32800
14431,2018/2019,2012/2013,5,Male,Health and social care,Southampton Solent University,c,c,c,c
14432,2018/2019,2012/2013,5,Male,Health and social care,"St Mary's University, Twickenham",c,c,c,c
14433,2018/2019,2012/2013,5,Male,Health and social care,Staffordshire University,25900,23400,25900,30700
14434,2018/2019,2012/2013,5,Male,Health and social care,Swansea University,c,c,c,c
14435,2018/2019,2012/2013,5,Male,Health and social care,Teesside University,c,c,c,c
14436,2018/2019,2012/2013,5,Male,Health and social care,The City University,,,,
14437,2018/2019,2012/2013,5,Male,Health and social care,The Manchester Metropolitan University,27700,25200,27700,29900
14438,2018/2019,2012/2013,5,Male,Health and social care,The Nottingham Trent University,28800,21200,28800,32500
14439,2018/2019,2012/2013,5,Male,Health and social care,The Open University,33000,25100,33000,37600
14440,2018/2019,2012/2013,5,Male,Health and social care,The Robert Gordon University,c,c,c,c
14441,2018/2019,2012/2013,5,Male,Health and social care,The University of Bath,c,c,c,c
14442,2018/2019,2012/2013,5,Male,Health and social care,The University of Birmingham,c,c,c,c
14443,2018/2019,2012/2013,5,Male,Health and social care,The University of Bolton,c,c,c,c
14444,2018/2019,2012/2013,5,Male,Health and social care,The University of Bradford,24100,20100,24100,32600
14445,2018/2019,2012/2013,5,Male,Health and social care,The University of Brighton,c,c,c,c
14446,2018/2019,2012/2013,5,Male,Health and social care,The University of Bristol,c,c,c,c
14447,2018/2019,2012/2013,5,Male,Health and social care,The University of Central Lancashire,27000,16000,27000,33300
14448,2018/2019,2012/2013,5,Male,Health and social care,The University of Chichester,c,c,c,c
14449,2018/2019,2012/2013,5,Male,Health and social care,The University of Dundee,c,c,c,c
14450,2018/2019,2012/2013,5,Male,Health and social care,The University of East Anglia,c,c,c,c
14451,2018/2019,2012/2013,5,Male,Health and social care,The University of East London,c,c,c,c
14452,2018/2019,2012/2013,5,Male,Health and social care,The University of Edinburgh,c,c,c,c
14453,2018/2019,2012/2013,5,Male,Health and social care,The University of Essex,c,c,c,c
14454,2018/2019,2012/2013,5,Male,Health and social care,The University of Glasgow,c,c,c,c
14455,2018/2019,2012/2013,5,Male,Health and social care,The University of Greenwich,c,c,c,c
14456,2018/2019,2012/2013,5,Male,Health and social care,The University of Huddersfield,24800,18300,24800,28600
14457,2018/2019,2012/2013,5,Male,Health and social care,The University of Hull,c,c,c,c
14458,2018/2019,2012/2013,5,Male,Health and social care,The University of Keele,c,c,c,c
14459,2018/2019,2012/2013,5,Male,Health and social care,The University of Kent,c,c,c,c
14460,2018/2019,2012/2013,5,Male,Health and social care,The University of Lancaster,,,,
14461,2018/2019,2012/2013,5,Male,Health and social care,The University of Lincoln,25600,23000,25600,32800
14462,2018/2019,2012/2013,5,Male,Health and social care,The University of Manchester,c,c,c,c
14463,2018/2019,2012/2013,5,Male,Health and social care,The University of Northampton,c,c,c,c
14464,2018/2019,2012/2013,5,Male,Health and social care,The University of Portsmouth,30100,29000,30100,32500
14465,2018/2019,2012/2013,5,Male,Health and social care,The University of Salford,29200,24100,29200,34700
14466,2018/2019,2012/2013,5,Male,Health and social care,The University of Sheffield,c,c,c,c
14467,2018/2019,2012/2013,5,Male,Health and social care,The University of Southampton,c,c,c,c
14468,2018/2019,2012/2013,5,Male,Health and social care,The University of Strathclyde,c,c,c,c
14469,2018/2019,2012/2013,5,Male,Health and social care,The University of Sunderland,23400,20100,23400,27700
14470,2018/2019,2012/2013,5,Male,Health and social care,The University of Sussex,c,c,c,c
14471,2018/2019,2012/2013,5,Male,Health and social care,The University of the West of Scotland,c,c,c,c
14472,2018/2019,2012/2013,5,Male,Health and social care,The University of West London,c,c,c,c
14473,2018/2019,2012/2013,5,Male,Health and social care,The University of Winchester,c,c,c,c
14474,2018/2019,2012/2013,5,Male,Health and social care,The University of Wolverhampton,c,c,c,c
14475,2018/2019,2012/2013,5,Male,Health and social care,The University of York,c,c,c,c
14476,2018/2019,2012/2013,5,Male,Health and social care,University Campus Suffolk,c,c,c,c
14477,2018/2019,2012/2013,5,Male,Health and social care,University of Bedfordshire,c,c,c,c
14478,2018/2019,2012/2013,5,Male,Health and social care,University of Chester,c,c,c,c
14479,2018/2019,2012/2013,5,Male,Health and social care,University of Cumbria,26300,20100,26300,29600
14480,2018/2019,2012/2013,5,Male,Health and social care,University of Derby,27400,18000,27400,30300
14481,2018/2019,2012/2013,5,Male,Health and social care,University of Gloucestershire,23700,20000,23700,27200
14482,2018/2019,2012/2013,5,Male,Health and social care,University of Hertfordshire,c,c,c,c
14483,2018/2019,2012/2013,5,Male,Health and social care,University of Northumbria at Newcastle,27700,24800,27700,31000
14484,2018/2019,2012/2013,5,Male,Health and social care,University of Nottingham,c,c,c,c
14485,2018/2019,2012/2013,5,Male,Health and social care,University of Plymouth,30300,22600,30300,32800
14486,2018/2019,2012/2013,5,Male,Health and social care,University of South Wales,c,c,c,c
14487,2018/2019,2012/2013,5,Male,Health and social care,University of St Mark and St John,c,c,c,c
14488,2018/2019,2012/2013,5,Male,Health and social care,University of the Highlands and Islands,c,c,c,c
14489,2018/2019,2012/2013,5,Male,Health and social care,"University of the West of England, Bristol",c,c,c,c
14490,2018/2019,2012/2013,5,Male,Health and social care,University of Wales Trinity Saint David,c,c,c,c
14491,2018/2019,2012/2013,5,Male,Health and social care,"University of Wales, Newport",c,c,c,c
14492,2018/2019,2012/2013,5,Male,Health and social care,University of Worcester,c,c,c,c
14493,2018/2019,2012/2013,5,Male,History and archaeology,Aberystwyth University,22300,19300,22300,25600
14494,2018/2019,2012/2013,5,Male,History and archaeology,Anglia Ruskin University,23400,17300,23400,27800
14495,2018/2019,2012/2013,5,Male,History and archaeology,Bangor University,21500,12400,21500,26600
14496,2018/2019,2012/2013,5,Male,History and archaeology,Bath Spa University,24100,17500,24100,27700
14497,2018/2019,2012/2013,5,Male,History and archaeology,Birkbeck College,24700,16100,24700,32100
14498,2018/2019,2012/2013,5,Male,History and archaeology,Bishop Grosseteste University,c,c,c,c
14499,2018/2019,2012/2013,5,Male,History and archaeology,Bournemouth University,23500,16100,23500,28100
14500,2018/2019,2012/2013,5,Male,History and archaeology,Brunel University London,30300,25900,30300,42000
14501,2018/2019,2012/2013,5,Male,History and archaeology,Canterbury Christ Church University,27000,20100,27000,32800
14502,2018/2019,2012/2013,5,Male,History and archaeology,Cardiff Metropolitan University,c,c,c,c
14503,2018/2019,2012/2013,5,Male,History and archaeology,Cardiff University,29900,22600,29900,38700
14504,2018/2019,2012/2013,5,Male,History and archaeology,Courtauld Institute of Art,c,c,c,c
14505,2018/2019,2012/2013,5,Male,History and archaeology,Coventry University,24800,18200,24800,29900
14506,2018/2019,2012/2013,5,Male,History and archaeology,De Montfort University,25200,20400,25200,32100
14507,2018/2019,2012/2013,5,Male,History and archaeology,Edge Hill University,20800,13900,20800,27700
14508,2018/2019,2012/2013,5,Male,History and archaeology,Glyndwr University,c,c,c,c
14509,2018/2019,2012/2013,5,Male,History and archaeology,Goldsmiths College,25900,18600,25900,31000
14510,2018/2019,2012/2013,5,Male,History and archaeology,King's College London,33200,26600,33200,51100
14511,2018/2019,2012/2013,5,Male,History and archaeology,Kingston University,26300,21200,26300,32500
14512,2018/2019,2012/2013,5,Male,History and archaeology,Leeds Beckett University,24100,16400,24100,32100
14513,2018/2019,2012/2013,5,Male,History and archaeology,Leeds Trinity University,c,c,c,c
14514,2018/2019,2012/2013,5,Male,History and archaeology,Liverpool Hope University,c,c,c,c
14515,2018/2019,2012/2013,5,Male,History and archaeology,Liverpool John Moores University,21400,18200,21400,24500
14516,2018/2019,2012/2013,5,Male,History and archaeology,London Metropolitan University,c,c,c,c
14517,2018/2019,2012/2013,5,Male,History and archaeology,London School of Economics and Political Science,46400,30700,46400,66800
14518,2018/2019,2012/2013,5,Male,History and archaeology,Loughborough University,33200,25900,33200,47100
14519,2018/2019,2012/2013,5,Male,History and archaeology,Newman University,c,c,c,c
14520,2018/2019,2012/2013,5,Male,History and archaeology,Oxford Brookes University,34700,25200,34700,43800
14521,2018/2019,2012/2013,5,Male,History and archaeology,Queen Mary University of London,31400,23400,31400,35000
14522,2018/2019,2012/2013,5,Male,History and archaeology,Roehampton University,27400,23400,27400,35400
14523,2018/2019,2012/2013,5,Male,History and archaeology,Royal Holloway and Bedford New College,32100,24800,32100,39800
14524,2018/2019,2012/2013,5,Male,History and archaeology,Sheffield Hallam University,23400,19000,23400,28500
14525,2018/2019,2012/2013,5,Male,History and archaeology,"St Mary's University, Twickenham",28500,26300,28500,35000
14526,2018/2019,2012/2013,5,Male,History and archaeology,Staffordshire University,c,c,c,c
14527,2018/2019,2012/2013,5,Male,History and archaeology,Swansea University,24500,20100,24500,31000
14528,2018/2019,2012/2013,5,Male,History and archaeology,Teesside University,22600,15700,22600,27000
14529,2018/2019,2012/2013,5,Male,History and archaeology,The Manchester Metropolitan University,21700,17500,21700,27000
14530,2018/2019,2012/2013,5,Male,History and archaeology,The Nottingham Trent University,26300,21200,26300,30300
14531,2018/2019,2012/2013,5,Male,History and archaeology,The Open University,27000,18600,27000,38700
14532,2018/2019,2012/2013,5,Male,History and archaeology,The School of Oriental and African Studies,30300,20100,30300,39400
14533,2018/2019,2012/2013,5,Male,History and archaeology,The University of Aberdeen,26100,20300,26100,32000
14534,2018/2019,2012/2013,5,Male,History and archaeology,The University of Birmingham,33600,25200,33600,41600
14535,2018/2019,2012/2013,5,Male,History and archaeology,The University of Bolton,c,c,c,c
14536,2018/2019,2012/2013,5,Male,History and archaeology,The University of Bradford,c,c,c,c
14537,2018/2019,2012/2013,5,Male,History and archaeology,The University of Brighton,27400,12000,27400,41600
14538,2018/2019,2012/2013,5,Male,History and archaeology,The University of Bristol,39400,27000,39400,58000
14539,2018/2019,2012/2013,5,Male,History and archaeology,The University of Buckingham,c,c,c,c
14540,2018/2019,2012/2013,5,Male,History and archaeology,The University of Cambridge,42900,31200,42900,58300
14541,2018/2019,2012/2013,5,Male,History and archaeology,The University of Central Lancashire,24100,18600,24100,25900
14542,2018/2019,2012/2013,5,Male,History and archaeology,The University of Chichester,25400,17500,25400,34300
14543,2018/2019,2012/2013,5,Male,History and archaeology,The University of Dundee,23000,16400,23000,26300
14544,2018/2019,2012/2013,5,Male,History and archaeology,The University of East Anglia,28800,21900,28800,35800
14545,2018/2019,2012/2013,5,Male,History and archaeology,The University of East London,c,c,c,c
14546,2018/2019,2012/2013,5,Male,History and archaeology,The University of Edinburgh,31400,21200,31400,47400
14547,2018/2019,2012/2013,5,Male,History and archaeology,The University of Essex,24800,18200,24800,34700
14548,2018/2019,2012/2013,5,Male,History and archaeology,The University of Exeter,38700,28500,38700,50000
14549,2018/2019,2012/2013,5,Male,History and archaeology,The University of Glasgow,23700,19000,23700,31000
14550,2018/2019,2012/2013,5,Male,History and archaeology,The University of Greenwich,25900,21500,25900,30300
14551,2018/2019,2012/2013,5,Male,History and archaeology,The University of Huddersfield,23400,15000,23400,27700
14552,2018/2019,2012/2013,5,Male,History and archaeology,The University of Hull,23700,18200,23700,32800
14553,2018/2019,2012/2013,5,Male,History and archaeology,The University of Keele,22600,17200,22600,30300
14554,2018/2019,2012/2013,5,Male,History and archaeology,The University of Kent,28100,22300,28100,35000
14555,2018/2019,2012/2013,5,Male,History and archaeology,The University of Lancaster,25600,20400,25600,33600
14556,2018/2019,2012/2013,5,Male,History and archaeology,The University of Leeds,32100,22300,32100,42000
14557,2018/2019,2012/2013,5,Male,History and archaeology,The University of Leicester,28500,22600,28500,34700
14558,2018/2019,2012/2013,5,Male,History and archaeology,The University of Lincoln,24500,19000,24500,31800
14559,2018/2019,2012/2013,5,Male,History and archaeology,The University of Liverpool,26500,21200,26500,35000
14560,2018/2019,2012/2013,5,Male,History and archaeology,The University of Manchester,32100,24800,32100,43800
14561,2018/2019,2012/2013,5,Male,History and archaeology,The University of Northampton,22300,19700,22300,29600
14562,2018/2019,2012/2013,5,Male,History and archaeology,The University of Oxford,43800,28800,43800,70400
14563,2018/2019,2012/2013,5,Male,History and archaeology,The University of Portsmouth,29600,24100,29600,38000
14564,2018/2019,2012/2013,5,Male,History and archaeology,The University of Reading,28500,21900,28500,38000
14565,2018/2019,2012/2013,5,Male,History and archaeology,The University of Salford,c,c,c,c
14566,2018/2019,2012/2013,5,Male,History and archaeology,The University of Sheffield,30800,23700,30800,39100
14567,2018/2019,2012/2013,5,Male,History and archaeology,The University of Southampton,29200,23700,29200,37200
